area,year,measurement,units,value,breakdown_of_domestic_tourism,age,marital_status,gender,employment_status,children,access_to_car,social_grade,type_of_location_visited,tourism_activity
Scotland,2015,Count,Million Visits,30,Visits,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2017,Count,Million Visits,24,Visits,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2018,Count,Million Visits,23,Visits,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2019,Count,Million Visits,110,Visits,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2015,Count,Million Visits,95,Visits,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2014,Count,Million Visits,101,Visits,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2013,Count,Million Visits,100,Visits,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2016,Count,Million Visits,22,Visits,All,All,All,All,All,No access to car (0),All,Rural countryside,NA
Scotland,2017,Count,million pounds (GBP),763,Expenditure,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2013,Count,million pounds (GBP),578,Expenditure,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2019,Count,million pounds (GBP),825,Expenditure,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2014,Count,million pounds (GBP),741,Expenditure,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2015,Count,million pounds (GBP),682,Expenditure,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2019,Count,Million Visits,23,Visits,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2018,Count,million pounds (GBP),899,Expenditure,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2014,Count,Million Visits,26,Visits,All,All,All,All,All,No access to car (0),All,NA,NA
Scotland,2014,Count,million pounds (GBP),1898,Expenditure,All,All,All,All,All,All,AB,NA,NA
Scotland,2014,Count,million pounds (GBP),2593,Expenditure,All,All,Female,All,All,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),2434,Expenditure,All,All,Female,All,All,All,All,NA,NA
Scotland,2018,Count,Million Visits,115,Visits,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2019,Count,million pounds (GBP),4952,Expenditure,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2016,Count,million pounds (GBP),1465,Expenditure,All,All,All,All,All,All,C1,NA,NA
Scotland,2014,Count,million pounds (GBP),612,Expenditure,All,All,All,All,All,All,DE,Rural countryside,NA
Scotland,2019,Count,million pounds (GBP),5777,Expenditure,All,All,All,All,All,All,All,All areas,All
Scotland,2019,Count,million pounds (GBP),689,Expenditure,16-24 years,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),4069,Expenditure,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2016,Count,million pounds (GBP),4276,Expenditure,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2017,Count,million pounds (GBP),5232,Expenditure,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2014,Count,million pounds (GBP),4279,Expenditure,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2016,Count,Million Visits,120,Visits,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2018,Count,million pounds (GBP),4575,Expenditure,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2017,Count,Million Visits,127,Visits,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2015,Count,million pounds (GBP),3240,Expenditure,All,All,All,All,All,Access to car (1+),All,NA,NA
Scotland,2014,Count,million pounds (GBP),1633,Expenditure,All,Not Married,All,All,All,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),3240,Expenditure,All,All,All,All,No - Children,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),920,Expenditure,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2017,Count,million pounds (GBP),702,Expenditure,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),794,Expenditure,55-64 years,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),541,Expenditure,16-24 years,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),799,Expenditure,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),969,Expenditure,45-54 years,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),3401,Expenditure,All,All,All,All,No - Children,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),702,Expenditure,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2019,Count,million pounds (GBP),1212,Expenditure,All,All,All,All,All,All,C1,NA,NA
Scotland,2013,Count,million pounds (GBP),615,Expenditure,55-64 years,All,All,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),3604,Expenditure,All,All,All,All,No - Children,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),2579,Expenditure,All,All,All,All,No - Children,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),1455,Expenditure,All,Not Married,All,All,All,All,All,NA,NA
Scotland,2013,Count,million pounds (GBP),729,Expenditure,35-44 years,All,All,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),825,Expenditure,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),618,Expenditure,All,All,All,All,All,All,C2,NA,NA
Scotland,2015,Count,million pounds (GBP),748,Expenditure,55-64 years,All,All,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),831,Expenditure,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),2839,Expenditure,All,All,Male,All,All,All,All,NA,NA
Scotland,2018,Count,million pounds (GBP),5474,Expenditure,All,All,All,All,All,All,All,All areas,All
Scotland,2018,Count,million pounds (GBP),2635,Expenditure,All,All,Female,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),966,Expenditure,16-24 years,All,All,All,All,All,All,NA,NA
Scotland,2017,Count,million pounds (GBP),3992,Expenditure,All,All,All,All,No - Children,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),809,Expenditure,45-54 years,All,All,All,All,All,All,NA,NA
Scotland,2014,Count,million pounds (GBP),733,Expenditure,35-44 years,All,All,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),565,Expenditure,16-24 years,All,All,All,All,All,All,NA,NA
Scotland,2015,Count,million pounds (GBP),709,Expenditure,35-44 years,All,All,All,All,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),563,Expenditure,16-24 years,All,All,All,All,All,All,NA,NA
Scotland,2016,Count,million pounds (GBP),808,Expenditure,55-64 years,All,All,All,All,All,All,NA,NA
