area,year,measurement,units,value,region_of_residence,breakdown_of_domestic_tourism
Dumfries and Galloway,2013-2015,Count,million pounds (GBP),35,Scotland,Expenditure
Dumfries and Galloway,2012-2014,Count,million pounds (GBP),34,Scotland,Expenditure
Dumfries and Galloway,2016-2018,Count,Thousand Nights,727,Scotland,Nights
Dumfries and Galloway,2014-2016,Count,Thousand Nights,1912,England,Nights
Dumfries and Galloway,2010-2012,Count,million pounds (GBP),143,All of GB,Expenditure
Dumfries and Galloway,2016-2018,Count,Thousand Nights,2378,All of GB,Nights
Dumfries and Galloway,2013-2015,Count,million pounds (GBP),127,All of GB,Expenditure
Dumfries and Galloway,2010-2012,Count,Thousand Visits,387,England,Visits
Dumfries and Galloway,2010-2012,Count,Thousand Visits,747,All of GB,Visits
Dumfries and Galloway,2009-2011,Count,Thousand Nights,1103,Scotland,Nights
Dumfries and Galloway,2011-2013,Count,Thousand Nights,896,Scotland,Nights
Dumfries and Galloway,2011-2013,Count,Thousand Nights,1458,England,Nights
Dumfries and Galloway,2015-2017,Count,Thousand Visits,245,Scotland,Visits
Dumfries and Galloway,2012-2014,Count,Thousand Visits,357,England,Visits
Dumfries and Galloway,2017-2019,Count,Thousand Visits,265,Scotland,Visits
Dumfries and Galloway,2017-2019,Count,million pounds (GBP),131,All of GB,Expenditure
Dumfries and Galloway,2012-2014,Count,Thousand Visits,294,Scotland,Visits
Dumfries and Galloway,2010-2012,Count,million pounds (GBP),41,Scotland,Expenditure
Dumfries and Galloway,2009-2011,Count,Thousand Nights,1692,England,Nights
Dumfries and Galloway,2013-2015,Count,Thousand Nights,1711,England,Nights
Dumfries and Galloway,2011-2013,Count,million pounds (GBP),40,Scotland,Expenditure
East Ayrshire,2014-2016,Count,million pounds (GBP),8,All of GB,Expenditure
East Ayrshire,2013-2015,Count,Thousand Visits,30,England,Visits
East Ayrshire,2016-2018,Count,million pounds (GBP),7,England,Expenditure
East Ayrshire,2014-2016,Count,Thousand Visits,27,England,Visits
East Ayrshire,2011-2013,Count,million pounds (GBP),6,England,Expenditure
East Ayrshire,2017-2019,Count,Thousand Visits,67,All of GB,Visits
East Ayrshire,2016-2018,Count,million pounds (GBP),15,All of GB,Expenditure
East Ayrshire,2012-2014,Count,Thousand Visits,30,England,Visits
East Ayrshire,2015-2017,Count,million pounds (GBP),12,All of GB,Expenditure
East Ayrshire,2016-2018,Count,Thousand Nights,159,England,Nights
East Ayrshire,2012-2014,Count,million pounds (GBP),5,England,Expenditure
East Ayrshire,2013-2015,Count,million pounds (GBP),5,England,Expenditure
East Ayrshire,2014-2016,Count,million pounds (GBP),4,England,Expenditure
East Ayrshire,2010-2012,Count,million pounds (GBP),4,England,Expenditure
East Ayrshire,2017-2019,Count,Thousand Visits,45,England,Visits
East Ayrshire,2015-2017,Count,million pounds (GBP),4,England,Expenditure
East Ayrshire,2012-2014,Count,Thousand Visits,61,All of GB,Visits
East Ayrshire,2013-2015,Count,Thousand Visits,32,Scotland,Visits
East Ayrshire,2017-2019,Count,million pounds (GBP),16,All of GB,Expenditure
East Ayrshire,2015-2017,Count,Thousand Visits,35,England,Visits
East Ayrshire,2017-2019,Count,million pounds (GBP),8,Scotland,Expenditure
East Ayrshire,2010-2012,Count,Thousand Nights,81,England,Nights
East Ayrshire,2010-2012,Count,Thousand Visits,70,All of GB,Visits
East Ayrshire,2016-2018,Count,Thousand Nights,214,All of GB,Nights
East Ayrshire,2012-2014,Count,million pounds (GBP),11,All of GB,Expenditure
East Ayrshire,2013-2015,Count,Thousand Visits,62,All of GB,Visits
East Ayrshire,2009-2011,Count,Thousand Visits,37,England,Visits
East Ayrshire,2009-2011,Count,Thousand Visits,85,All of GB,Visits
East Ayrshire,2011-2013,Count,Thousand Nights,102,England,Nights
East Ayrshire,2016-2018,Count,million pounds (GBP),7,Scotland,Expenditure
East Ayrshire,2015-2017,Count,Thousand Nights,117,England,Nights
East Ayrshire,2015-2017,Count,Thousand Nights,174,All of GB,Nights
East Ayrshire,2013-2015,Count,Thousand Nights,61,Scotland,Nights
East Ayrshire,2009-2011,Count,Thousand Nights,198,England,Nights
East Ayrshire,2012-2014,Count,Thousand Nights,154,All of GB,Nights
East Ayrshire,2011-2013,Count,Thousand Nights,52,Scotland,Nights
East Ayrshire,2015-2017,Count,million pounds (GBP),7,Scotland,Expenditure
East Ayrshire,2009-2011,Count,Thousand Visits,48,Scotland,Visits
East Ayrshire,2012-2014,Count,Thousand Nights,58,Scotland,Nights
East Ayrshire,2009-2011,Count,million pounds (GBP),4,Scotland,Expenditure
East Ayrshire,2013-2015,Count,million pounds (GBP),5,Scotland,Expenditure
East Ayrshire,2011-2013,Count,Thousand Visits,69,All of GB,Visits
East Ayrshire,2011-2013,Count,million pounds (GBP),9,All of GB,Expenditure
East Ayrshire,2009-2011,Count,Thousand Nights,173,Scotland,Nights
East Ayrshire,2010-2012,Count,Thousand Visits,36,Scotland,Visits
East Ayrshire,2011-2013,Count,million pounds (GBP),3,Scotland,Expenditure
East Ayrshire,2017-2019,Count,Thousand Nights,167,England,Nights
East Ayrshire,2016-2018,Count,Thousand Visits,40,England,Visits
East Ayrshire,2016-2018,Count,Thousand Nights,38,Scotland,Nights
East Ayrshire,2017-2019,Count,Thousand Nights,223,All of GB,Nights
East Ayrshire,2014-2016,Count,Thousand Nights,84,England,Nights
East Ayrshire,2012-2014,Count,million pounds (GBP),6,Scotland,Expenditure
East Ayrshire,2010-2012,Count,million pounds (GBP),4,Scotland,Expenditure
East Ayrshire,2013-2015,Count,Thousand Nights,105,England,Nights
East Ayrshire,2017-2019,Count,million pounds (GBP),8,England,Expenditure
East Ayrshire,2015-2017,Count,Thousand Nights,41,Scotland,Nights
East Ayrshire,2017-2019,Count,Thousand Nights,49,Scotland,Nights
East Ayrshire,2015-2017,Count,Thousand Visits,22,Scotland,Visits
East Ayrshire,2013-2015,Count,Thousand Nights,166,All of GB,Nights
East Ayrshire,2014-2016,Count,Thousand Nights,130,All of GB,Nights
East Ayrshire,2011-2013,Count,Thousand Nights,155,All of GB,Nights
East Ayrshire,2012-2014,Count,Thousand Visits,31,Scotland,Visits
East Ayrshire,2014-2016,Count,million pounds (GBP),4,Scotland,Expenditure
East Ayrshire,2010-2012,Count,Thousand Visits,33,England,Visits
East Ayrshire,2009-2011,Count,million pounds (GBP),5,England,Expenditure
East Ayrshire,2017-2019,Count,Thousand Visits,21,Scotland,Visits
East Ayrshire,2010-2012,Count,Thousand Nights,100,Scotland,Nights
East Ayrshire,2011-2013,Count,Thousand Visits,35,England,Visits
East Ayrshire,2016-2018,Count,Thousand Visits,19,Scotland,Visits
East Ayrshire,2014-2016,Count,Thousand Visits,49,All of GB,Visits
East Ayrshire,2015-2017,Count,Thousand Visits,59,All of GB,Visits
East Ayrshire,2011-2013,Count,Thousand Visits,33,Scotland,Visits
East Ayrshire,2014-2016,Count,Thousand Visits,22,Scotland,Visits
East Ayrshire,2014-2016,Count,Thousand Nights,46,Scotland,Nights
East Ayrshire,2013-2015,Count,million pounds (GBP),10,All of GB,Expenditure
East Ayrshire,2009-2011,Count,Thousand Nights,372,All of GB,Nights
East Ayrshire,2012-2014,Count,Thousand Nights,95,England,Nights
East Ayrshire,2010-2012,Count,Thousand Nights,182,All of GB,Nights
East Ayrshire,2016-2018,Count,Thousand Visits,60,All of GB,Visits
East Ayrshire,2010-2012,Count,million pounds (GBP),8,All of GB,Expenditure
East Ayrshire,2009-2011,Count,million pounds (GBP),9,All of GB,Expenditure
East Lothian,2012-2014,Count,Thousand Visits,80,England,Visits
East Lothian,2013-2015,Count,Thousand Visits,168,All of GB,Visits
East Lothian,2011-2013,Count,Thousand Visits,132,Scotland,Visits
East Lothian,2012-2014,Count,million pounds (GBP),33,All of GB,Expenditure
East Lothian,2010-2012,Count,Thousand Visits,212,All of GB,Visits
East Lothian,2011-2013,Count,Thousand Nights,430,England,Nights
East Lothian,2016-2018,Count,million pounds (GBP),17,England,Expenditure
East Lothian,2017-2019,Count,Thousand Visits,153,All of GB,Visits
East Lothian,2010-2012,Count,Thousand Nights,358,England,Nights
East Lothian,2014-2016,Count,million pounds (GBP),12,Scotland,Expenditure
East Lothian,2015-2017,Count,million pounds (GBP),13,Scotland,Expenditure
East Lothian,2012-2014,Count,Thousand Visits,117,Scotland,Visits
East Lothian,2010-2012,Count,Thousand Nights,471,Scotland,Nights
East Lothian,2016-2018,Count,Thousand Nights,740,All of GB,Nights
East Lothian,2009-2011,Count,Thousand Visits,100,Scotland,Visits
East Lothian,2011-2013,Count,Thousand Visits,78,England,Visits
East Lothian,2014-2016,Count,Thousand Nights,760,All of GB,Nights
East Lothian,2012-2014,Count,Thousand Nights,390,Scotland,Nights
East Lothian,2013-2015,Count,Thousand Visits,83,England,Visits
East Lothian,2014-2016,Count,million pounds (GBP),33,All of GB,Expenditure
East Lothian,2011-2013,Count,Thousand Nights,887,All of GB,Nights
East Lothian,2010-2012,Count,Thousand Visits,66,England,Visits
East Lothian,2013-2015,Count,Thousand Nights,321,Scotland,Nights
East Lothian,2017-2019,Count,million pounds (GBP),34,All of GB,Expenditure
East Lothian,2014-2016,Count,Thousand Visits,172,All of GB,Visits
East Lothian,2016-2018,Count,Thousand Visits,161,All of GB,Visits
East Lothian,2013-2015,Count,Thousand Nights,600,All of GB,Nights
East Lothian,2012-2014,Count,Thousand Nights,296,England,Nights
East Lothian,2016-2018,Count,Thousand Nights,289,Scotland,Nights
East Lothian,2009-2011,Count,Thousand Visits,42,England,Visits
East Lothian,2012-2014,Count,Thousand Nights,701,All of GB,Nights
East Lothian,2016-2018,Count,Thousand Nights,451,England,Nights
East Lothian,2009-2011,Count,million pounds (GBP),20,All of GB,Expenditure
East Lothian,2013-2015,Count,Thousand Nights,265,England,Nights
East Lothian,2012-2014,Count,Thousand Visits,200,All of GB,Visits
East Lothian,2015-2017,Count,Thousand Visits,70,Scotland,Visits
East Lothian,2013-2015,Count,million pounds (GBP),32,All of GB,Expenditure
East Lothian,2017-2019,Count,Thousand Nights,328,Scotland,Nights
East Lothian,2017-2019,Count,Thousand Visits,94,Scotland,Visits
East Lothian,2014-2016,Count,Thousand Nights,250,Scotland,Nights
East Lothian,2009-2011,Count,Thousand Nights,264,England,Nights
East Lothian,2010-2012,Count,million pounds (GBP),31,All of GB,Expenditure
East Lothian,2016-2018,Count,Thousand Visits,87,Scotland,Visits
East Lothian,2013-2015,Count,million pounds (GBP),17,England,Expenditure
East Lothian,2015-2017,Count,million pounds (GBP),17,England,Expenditure
East Lothian,2016-2018,Count,million pounds (GBP),16,Scotland,Expenditure
East Lothian,2017-2019,Count,million pounds (GBP),18,Scotland,Expenditure
East Lothian,2016-2018,Count,Thousand Visits,74,England,Visits
East Lothian,2015-2017,Count,Thousand Nights,485,England,Nights
East Lothian,2015-2017,Count,Thousand Nights,283,Scotland,Nights
East Lothian,2011-2013,Count,million pounds (GBP),33,All of GB,Expenditure
East Lothian,2011-2013,Count,million pounds (GBP),14,Scotland,Expenditure
East Lothian,2016-2018,Count,million pounds (GBP),32,All of GB,Expenditure
East Lothian,2009-2011,Count,million pounds (GBP),8,England,Expenditure
East Lothian,2009-2011,Count,Thousand Nights,614,All of GB,Nights
East Lothian,2014-2016,Count,Thousand Visits,69,Scotland,Visits
East Lothian,2014-2016,Count,Thousand Nights,510,England,Nights
East Lothian,2015-2017,Count,million pounds (GBP),31,All of GB,Expenditure
East Lothian,2010-2012,Count,Thousand Nights,834,All of GB,Nights
East Lothian,2011-2013,Count,Thousand Nights,438,Scotland,Nights
East Lothian,2010-2012,Count,Thousand Visits,141,Scotland,Visits
East Lothian,2011-2013,Count,Thousand Visits,217,All of GB,Visits
East Lothian,2012-2014,Count,million pounds (GBP),16,England,Expenditure
East Lothian,2013-2015,Count,Thousand Visits,83,Scotland,Visits
East Lothian,2015-2017,Count,Thousand Visits,154,All of GB,Visits
East Lothian,2013-2015,Count,million pounds (GBP),12,Scotland,Expenditure
East Lothian,2014-2016,Count,million pounds (GBP),21,England,Expenditure
East Lothian,2011-2013,Count,million pounds (GBP),16,England,Expenditure
East Lothian,2017-2019,Count,Thousand Nights,506,All of GB,Nights
East Lothian,2012-2014,Count,million pounds (GBP),14,Scotland,Expenditure
East Lothian,2010-2012,Count,million pounds (GBP),14,England,Expenditure
East Lothian,2009-2011,Count,million pounds (GBP),11,Scotland,Expenditure
East Lothian,2009-2011,Count,Thousand Visits,146,All of GB,Visits
East Lothian,2015-2017,Count,Thousand Visits,84,England,Visits
East Lothian,2015-2017,Count,Thousand Nights,767,All of GB,Nights
East Lothian,2009-2011,Count,Thousand Nights,345,Scotland,Nights
East Lothian,2017-2019,Count,Thousand Visits,58,England,Visits
East Lothian,2017-2019,Count,Thousand Nights,178,England,Nights
East Lothian,2010-2012,Count,million pounds (GBP),16,Scotland,Expenditure
East Lothian,2017-2019,Count,million pounds (GBP),16,England,Expenditure
East Lothian,2014-2016,Count,Thousand Visits,102,England,Visits
East Renfrewshire,2012-2014,Count,million pounds (GBP),0,Scotland,Expenditure
East Renfrewshire,2009-2011,Count,Thousand Nights,3,England,Nights
East Renfrewshire,2013-2015,Count,Thousand Nights,0,All of GB,Nights
East Renfrewshire,2014-2016,Count,Thousand Visits,4,England,Visits
East Renfrewshire,2011-2013,Count,million pounds (GBP),1,Scotland,Expenditure
East Renfrewshire,2014-2016,Count,Thousand Nights,0,Scotland,Nights
East Renfrewshire,2014-2016,Count,Thousand Visits,0,Scotland,Visits
East Renfrewshire,2017-2019,Count,Thousand Visits,5,England,Visits
East Renfrewshire,2012-2014,Count,million pounds (GBP),0,England,Expenditure
East Renfrewshire,2013-2015,Count,million pounds (GBP),0,England,Expenditure
East Renfrewshire,2015-2017,Count,million pounds (GBP),0,England,Expenditure
East Renfrewshire,2010-2012,Count,Thousand Nights,15,All of GB,Nights
East Renfrewshire,2009-2011,Count,Thousand Nights,15,All of GB,Nights
East Renfrewshire,2012-2014,Count,Thousand Nights,0,All of GB,Nights
East Renfrewshire,2017-2019,Count,million pounds (GBP),0,Scotland,Expenditure
East Renfrewshire,2017-2019,Count,Thousand Visits,2,Scotland,Visits
East Renfrewshire,2014-2016,Count,million pounds (GBP),0,England,Expenditure
East Renfrewshire,2015-2017,Count,Thousand Visits,10,All of GB,Visits
East Renfrewshire,2017-2019,Count,Thousand Visits,9,All of GB,Visits
East Renfrewshire,2011-2013,Count,Thousand Visits,1,England,Visits
East Renfrewshire,2013-2015,Count,Thousand Visits,0,All of GB,Visits
East Renfrewshire,2016-2018,Count,Thousand Nights,11,England,Nights
East Renfrewshire,2016-2018,Count,million pounds (GBP),0,England,Expenditure
East Renfrewshire,2011-2013,Count,Thousand Nights,7,All of GB,Nights
East Renfrewshire,2012-2014,Count,Thousand Nights,0,Scotland,Nights
East Renfrewshire,2016-2018,Count,Thousand Visits,10,All of GB,Visits
East Renfrewshire,2015-2017,Count,Thousand Nights,17,All of GB,Nights
East Renfrewshire,2011-2013,Count,million pounds (GBP),0,England,Expenditure
East Renfrewshire,2017-2019,Count,Thousand Nights,14,All of GB,Nights
East Renfrewshire,2012-2014,Count,Thousand Visits,0,All of GB,Visits
East Renfrewshire,2010-2012,Count,Thousand Nights,13,Scotland,Nights
East Renfrewshire,2015-2017,Count,Thousand Visits,7,England,Visits
East Renfrewshire,2017-2019,Count,Thousand Nights,8,England,Nights
East Renfrewshire,2013-2015,Count,million pounds (GBP),0,Scotland,Expenditure
East Renfrewshire,2010-2012,Count,million pounds (GBP),1,Scotland,Expenditure
East Renfrewshire,2016-2018,Count,million pounds (GBP),1,All of GB,Expenditure
East Renfrewshire,2015-2017,Count,Thousand Nights,11,England,Nights
East Renfrewshire,2011-2013,Count,Thousand Nights,4,Scotland,Nights
East Renfrewshire,2011-2013,Count,Thousand Nights,3,England,Nights
East Renfrewshire,2013-2015,Count,Thousand Visits,0,England,Visits
East Renfrewshire,2016-2018,Count,Thousand Visits,7,England,Visits
East Renfrewshire,2014-2016,Count,Thousand Nights,8,All of GB,Nights
East Renfrewshire,2009-2011,Count,Thousand Visits,7,Scotland,Visits
East Renfrewshire,2009-2011,Count,million pounds (GBP),1,Scotland,Expenditure
East Renfrewshire,2016-2018,Count,million pounds (GBP),0,Scotland,Expenditure
East Renfrewshire,2015-2017,Count,million pounds (GBP),0,Scotland,Expenditure
East Renfrewshire,2014-2016,Count,million pounds (GBP),0,Scotland,Expenditure
East Renfrewshire,2012-2014,Count,Thousand Visits,0,Scotland,Visits
East Renfrewshire,2009-2011,Count,Thousand Visits,8,All of GB,Visits
East Renfrewshire,2016-2018,Count,Thousand Nights,17,All of GB,Nights
East Renfrewshire,2011-2013,Count,Thousand Visits,1,Scotland,Visits
East Renfrewshire,2014-2016,Count,million pounds (GBP),0,All of GB,Expenditure
East Renfrewshire,2010-2012,Count,Thousand Visits,8,All of GB,Visits
East Renfrewshire,2016-2018,Count,Thousand Visits,2,Scotland,Visits
East Renfrewshire,2013-2015,Count,million pounds (GBP),0,All of GB,Expenditure
East Renfrewshire,2011-2013,Count,million pounds (GBP),1,All of GB,Expenditure
East Renfrewshire,2010-2012,Count,Thousand Visits,7,Scotland,Visits
East Renfrewshire,2009-2011,Count,Thousand Nights,13,Scotland,Nights
East Renfrewshire,2014-2016,Count,Thousand Nights,8,England,Nights
East Renfrewshire,2017-2019,Count,Thousand Nights,2,Scotland,Nights
East Renfrewshire,2009-2011,Count,million pounds (GBP),1,All of GB,Expenditure
East Renfrewshire,2013-2015,Count,Thousand Visits,0,Scotland,Visits
East Renfrewshire,2010-2012,Count,million pounds (GBP),1,All of GB,Expenditure
East Renfrewshire,2014-2016,Count,Thousand Visits,4,All of GB,Visits
East Renfrewshire,2010-2012,Count,Thousand Nights,3,England,Nights
East Renfrewshire,2013-2015,Count,Thousand Nights,0,Scotland,Nights
East Renfrewshire,2010-2012,Count,million pounds (GBP),0,England,Expenditure
East Renfrewshire,2012-2014,Count,Thousand Visits,0,England,Visits
East Renfrewshire,2009-2011,Count,Thousand Visits,1,England,Visits
East Renfrewshire,2010-2012,Count,Thousand Visits,1,England,Visits
East Renfrewshire,2015-2017,Count,million pounds (GBP),1,All of GB,Expenditure
