area,year,measurement,units,value,type_of_location_visited,breakdown_of_domestic_tourism,tourism_activity
Scotland,2019,Count,Million Visits,13,NA,Visits,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2013,Count,Million Visits,1,NA,Visits,"Day out to a beauty/health centre/spa, etc."
Scotland,2017,Count,Million Visits,14,NA,Visits,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2014,Count,Million Visits,5,NA,Visits,"Sport participation, e.g. exercise classes, gym"
Scotland,2015,Count,Million Visits,7,NA,Visits,"Sport participation, e.g. exercise classes, gym"
Scotland,2015,Count,Million Visits,16,NA,Visits,Shopping for items that you do not regularly buy
Scotland,2013,Count,Million Visits,5,NA,Visits,"Sport participation, e.g. exercise classes, gym"
Scotland,2016,Count,Million Visits,9,NA,Visits,Leisure activities e.g. hobbies & evening classes
Scotland,2017,Count,Million Visits,15,NA,Visits,"Entertainment - to a cinema, concert or theatre"
Scotland,2016,Count,Million Visits,12,NA,Visits,Day trips/excursions for other leisure purpose
Scotland,2013,Count,Million Visits,11,NA,Visits,"Entertainment - to a cinema, concert or theatre"
Scotland,2014,Count,Million Visits,10,NA,Visits,Day trips/excursions for other leisure purpose
Scotland,2013,Count,Million Visits,9,NA,Visits,Day trips/excursions for other leisure purpose
Scotland,2015,Count,Million Visits,9,NA,Visits,Day trips/excursions for other leisure purpose
Scotland,2018,Count,Million Visits,3,NA,Visits,"Day out to a beauty/health centre/spa, etc."
Scotland,2015,Count,Million Visits,10,NA,Visits,Leisure activities e.g. hobbies & evening classes
Scotland,2019,Count,Million Visits,5,NA,Visits,"Day out to a beauty/health centre/spa, etc."
Scotland,2018,Count,Million Visits,13,NA,Visits,"Entertainment - to a cinema, concert or theatre"
Scotland,2017,Count,Million Visits,4,NA,Visits,"Day out to a beauty/health centre/spa, etc."
Scotland,2015,Count,Million Visits,19,NA,Visits,"Night out to a bar, pub and/or club"
Scotland,2018,Count,Million Visits,10,NA,Visits,Day trips/excursions for other leisure purpose
Scotland,2018,Count,Million Visits,25,NA,Visits,General day out/ to explore an area
Scotland,2017,Count,Million Visits,25,NA,Visits,General day out/ to explore an area
Scotland,2018,Count,Million Visits,19,NA,Visits,"Night out to a bar, pub and/or club"
Scotland,2019,Count,Million Visits,24,NA,Visits,General day out/ to explore an area
Scotland,2016,Count,Million Visits,19,NA,Visits,General day out/ to explore an area
Scotland,2019,Count,Million Visits,18,NA,Visits,"Night out to a bar, pub and/or club"
Scotland,2014,Count,Million Visits,20,NA,Visits,"Night out to a bar, pub and/or club"
Scotland,2013,Count,Million Visits,17,NA,Visits,General day out/ to explore an area
Scotland,2015,Count,Million Visits,18,NA,Visits,General day out/ to explore an area
Scotland,2017,Count,Million Visits,10,NA,Visits,"Special public event e.g. festival, exhibition"
Scotland,2019,Count,Million Visits,20,NA,Visits,Shopping for items that you do not regularly buy
Scotland,2018,Count,Million Visits,7,NA,Visits,"Special public event e.g. festival, exhibition"
Scotland,2018,Count,Million Visits,18,NA,Visits,Shopping for items that you do not regularly buy
Scotland,2016,Count,Million Visits,20,NA,Visits,"Night out to a bar, pub and/or club"
Scotland,2018,Count,Million Visits,9,NA,Visits,"Sport participation, e.g. exercise classes, gym"
Scotland,2016,Count,Million Visits,8,NA,Visits,"Sport participation, e.g. exercise classes, gym"
Scotland,2017,Count,Million Visits,23,NA,Visits,"Night out to a bar, pub and/or club"
Scotland,2017,Count,Million Visits,10,NA,Visits,"Sport participation, e.g. exercise classes, gym"
Scotland,2019,Count,Million Visits,8,NA,Visits,"Special public event e.g. festival, exhibition"
Scotland,2016,Count,Million Visits,18,NA,Visits,Shopping for items that you do not regularly buy
Scotland,2019,Count,Million Visits,13,NA,Visits,Watched live sporting events (not on TV)
Scotland,2015,Count,Million Visits,5,NA,Visits,"Special personal events e.g. wedding, graduation"
Scotland,2015,Count,Million Visits,24,NA,Visits,"Outdoor leisure activities e.g. walking, golf"
Scotland,2015,Count,Million Visits,12,NA,Visits,Watched live sporting events (not on TV)
Scotland,2014,Count,Million Visits,41,NA,Visits,Visited friends or family for leisure
Scotland,2017,Count,Million Visits,49,NA,Visits,Visited friends or family for leisure
Scotland,2018,Count,Million Visits,45,NA,Visits,Visited friends or family for leisure
Scotland,2019,Count,Million Visits,30,NA,Visits,"Outdoor leisure activities e.g. walking, golf"
Scotland,2016,Count,Million Visits,6,NA,Visits,"Special public event e.g. festival, exhibition"
Scotland,2016,Count,Million Visits,36,NA,Visits,Went out for a meal
Scotland,2014,Count,Million Visits,17,NA,Visits,Shopping for items that you do not regularly buy
Scotland,2016,Count,Million Visits,30,NA,Visits,"Outdoor leisure activities e.g. walking, golf"
Scotland,2017,Count,Million Visits,12,NA,Visits,Watched live sporting events (not on TV)
Scotland,2013,Count,Million Visits,6,NA,Visits,"Special public event e.g. festival, exhibition"
Scotland,2016,Count,Million Visits,12,NA,Visits,Watched live sporting events (not on TV)
Scotland,2014,Count,Million Visits,9,NA,Visits,Watched live sporting events (not on TV)
Scotland,2018,Count,Million Visits,11,NA,Visits,Watched live sporting events (not on TV)
Scotland,2013,Count,Million Visits,22,NA,Visits,"Outdoor leisure activities e.g. walking, golf"
Scotland,2016,Count,Million Visits,44,NA,Visits,Visited friends or family for leisure
Scotland,2019,Count,Million Visits,33,NA,Visits,Went out for a meal
Scotland,2019,Count,Million Visits,13,NA,Visits,"Entertainment - to a cinema, concert or theatre"
Scotland,2017,Count,Million Visits,6,NA,Visits,"Special personal events e.g. wedding, graduation"
Scotland,2015,Count,Million Visits,46,NA,Visits,Visited friends or family for leisure
Scotland,2013,Count,Million Visits,41,NA,Visits,Visited friends or family for leisure
Scotland,2017,Count,Million Visits,39,NA,Visits,Went out for a meal
Scotland,2018,Count,Million Visits,9,NA,Visits,Leisure activities e.g. hobbies & evening classes
Scotland,2014,Count,Million Visits,11,NA,Visits,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2016,Count,Million Visits,13,NA,Visits,"Visitor attraction e.g. theme park, museum, zoo"
Scotland,2016,Count,Million Visits,13,NA,Visits,"Entertainment - to a cinema, concert or theatre"
Scotland,2015,Count,Million Visits,12,NA,Visits,"Entertainment - to a cinema, concert or theatre"
Scotland,2019,Count,Million Visits,11,NA,Visits,Leisure activities e.g. hobbies & evening classes
Scotland,2018,Count,Million Visits,25,NA,Visits,"Outdoor leisure activities e.g. walking, golf"
Scotland,2014,Count,Million Visits,22,NA,Visits,"Outdoor leisure activities e.g. walking, golf"
Scotland,2014,Count,Million Visits,31,NA,Visits,Went out for a meal
Scotland,2015,Count,Million Visits,35,NA,Visits,Went out for a meal
Scotland,2019,Count,Million Visits,49,NA,Visits,Visited friends or family for leisure
Scotland,2019,Count,Million Visits,6,NA,Visits,"Special personal events e.g. wedding, graduation"
Scotland,2013,Count,Million Visits,29,NA,Visits,Went out for a meal
Scotland,2017,Count,Million Visits,35,NA,Visits,"Outdoor leisure activities e.g. walking, golf"
